created_at;entry_id;field1;field2;field3;field4;latitude;longitude;elevation;status
2026-03-26T14:55:06+07:00;341;19.81;26.24;28.9;22.44;;;;
2026-03-26T14:55:35+07:00;342;19.88;25.38;28.8;22.44;;;;
2026-03-26T14:56:05+07:00;343;19.88;24.92;28.7;22.44;;;;
2026-03-26T14:56:34+07:00;344;19.88;25.78;28.7;22.44;;;;
2026-03-26T14:56:50+07:00;345;19.88;26.5;28.6;22.44;;;;
2026-03-26T14:57:20+07:00;346;19.88;26.37;28.6;22.44;;;;
2026-03-26T14:57:49+07:00;347;19.81;26.7;28.6;22.5;;;;
2026-03-26T14:58:25+07:00;348;19.88;25.45;28.6;22.44;;;;
2026-03-26T14:58:58+07:00;349;19.88;25.71;28.7;22.44;;;;
2026-03-26T14:59:27+07:00;350;19.88;25.32;28.7;22.44;;;;
2026-03-26T14:59:43+07:00;351;19.88;25.32;28.4;22.44;;;;
2026-03-26T15:00:14+07:00;352;19.88;24.99;28.6;22.5;;;;
2026-03-26T15:00:48+07:00;353;19.88;25.91;28.6;22.44;;;;
2026-03-26T15:01:20+07:00;354;19.88;25.51;28.9;22.44;;;;
2026-03-26T15:01:37+07:00;355;19.88;25.05;28.6;22.5;;;;
2026-03-26T15:02:07+07:00;356;19.88;24.26;28.7;22.44;;;;
2026-03-26T15:02:24+07:00;357;19.88;25.91;28.5;22.44;;;;
